Building_Name,Carpet_Area,BHK,Floor_Number,Location,Furnished,Type,Bathrooms,Parking,Lift,Railway_Station-KM,Price,Available_for_Rent,Rented_Price
Sapphire Arcade 255,1716,2.0,18,Santacruz East,Furnished,2BHK,1,Yes,Yes,0,4693433,Yes,14490
Metro Residency 96,3472,4.0,1,Dadar East,Semi-Furnished,4BHK,4,No,No,4,1110979,Yes,9912
Palm Estate 236,2744,4.0,1,Worli,Furnished,4BHK,4,Yes,No,2,3741647,Yes,10481
Royal View 242,3199,4.0,20,Borivali West,Unfurnished,4BHK,3,Yes,Yes,2,1923514,No,0
Sapphire Enclave 176,1234,2.0,20,Bandra West,Furnished,2BHK,2,Yes,No,3,2195708,Yes,15965
Lakeview Heights 124,1349,2.0,22,Goregaon East,Furnished,2BHK,3,Yes,Yes,2,800613,No,0
Skyline Villa 191,757,1.0,7,Sion,Unfurnished,1BHK,3,Yes,No,1,2991510,Yes,23250
Harmony View 435,2980,2.0,4,Chembur,Unfurnished,2BHK,3,Yes,Yes,1,3559531,No,0
Sai Chawl,3470,3.0,13,Santacruz East,Semi-Furnished,3BHK,2,Yes,No,2,3451137,Yes,26980
Sai Chawl,1721,2.0,23,Juhu,Semi-Furnished,2BHK,4,Yes,Yes,0,3352047,No,0
Palm Estate 236,1994,1.0,12,Ghansoli,Unfurnished,1BHK,1,No,No,1,4628351,Yes,34767
Emerald Estate 147,2943,2.0,15,Vashi,Unfurnished,2BHK,3,No,Yes,4,3044199,Yes,9789
Crystal Grandeur 413,3298,4.0,20,Bandra West,Furnished,4BHK,2,Yes,Yes,1,4076383,Yes,29937
Crystal Grandeur 413,3140,2.0,22,Malad East,Semi-Furnished,2BHK,1,Yes,No,3,2608525,No,0
Sapphire Residency 152,2853,2.0,16,Mulund West,Furnished,2BHK,1,No,No,2,818123,No,0
Palm Villa 75,2343,1.0,9,Goregaon East,Semi-Furnished,1BHK,2,Yes,No,3,3257901,No,0
Sai Chawl,418,1.0,17,Mulund East,Semi-Furnished,1BHK,2,No,No,1,2558658,Yes,22346
Sai Chawl,2770,4.0,21,Andheri West,Furnished,4BHK,3,Yes,No,2,2436075,Yes,22947
Crystal Apartments 189,3130,1.0,19,Mulund East,Furnished,1BHK,2,No,Yes,3,3584210,Yes,30477
Skyline Tower 43,2762,3.0,15,Dadar East,Unfurnished,3BHK,2,No,Yes,0,581981,Yes,12441
Palm Palace 412,451,3.0,13,Lower Parel,Furnished,3BHK,1,Yes,Yes,2,3823018,No,0
Skyline Villa 191,1471,3.0,14,Nerul,Semi-Furnished,3BHK,2,Yes,No,1,1636456,No,0
Sai Chawl,1157,3.0,3,Powai,Semi-Furnished,3BHK,3,No,Yes,0,3723187,Yes,31212
Sai Chawl,1345,2.0,1,Kandivali East,Furnished,2BHK,2,No,Yes,4,3500334,No,0
Sapphire Enclave 176,1843,3.0,11,Mulund East,Unfurnished,3BHK,3,Yes,Yes,3,2836637,No,0
Palm Palace 412,719,3.0,3,Sion,Semi-Furnished,3BHK,4,Yes,No,3,1359369,Yes,8319
Sai Chawl,2897,4.0,9,Malad East,Semi-Furnished,4BHK,3,Yes,Yes,4,4307009,No,0
Silver Homes 198,2815,1.0,20,Belapur,Furnished,1BHK,4,Yes,No,1,4704736,No,0
Sai Chawl,468,2.0,22,Malad West,Semi-Furnished,2BHK,1,Yes,No,2,1791973,No,0
Oceanic Villa 372,2643,3.0,10,Seawoods,Semi-Furnished,3BHK,4,No,Yes,3,3946829,No,0
Crystal Apartments 189,1346,2.0,24,Malad West,Furnished,2BHK,3,No,No,3,4631169,No,0
Sai Chawl,904,1.0,24,Borivali West,Semi-Furnished,1BHK,3,Yes,Yes,3,3441012,Yes,32387
Sai Chawl,1914,4.0,19,Goregaon West,Furnished,4BHK,3,No,Yes,1,3715566,Yes,27322
Sai Chawl,2756,3.0,7,Goregaon West,Furnished,3BHK,3,Yes,No,4,1593282,No,0
Sai Chawl,2893,2.0,9,Vile Parle East,Unfurnished,2BHK,2,Yes,No,4,904236,Yes,20174
Metro Enclave 119,2261,3.0,18,Santacruz West,Unfurnished,3BHK,4,No,Yes,3,656660,No,0
Sai Chawl,3177,4.0,12,Belapur,Furnished,4BHK,4,Yes,Yes,3,4710780,Yes,39351
Sai Chawl,3380,3.0,24,Andheri East,Semi-Furnished,3BHK,1,No,Yes,3,2980439,No,0
Sai Chawl,2565,3.0,24,Juhu,Furnished,3BHK,2,No,No,3,2404531,No,0
Metro Residency 96,862,2.0,4,Kharghar,Semi-Furnished,2BHK,3,Yes,Yes,0,1507808,No,0
Green Villa 92,716,2.0,3,Airoli,Furnished,2BHK,2,No,No,3,3648427,Yes,14383
Sai Chawl,2065,4.0,3,Sion,Unfurnished,4BHK,2,Yes,No,2,2121840,No,0
Sai Chawl,1484,2.0,18,Dadar East,Unfurnished,2BHK,1,No,Yes,2,3724389,Yes,20524
Orchid Park 156,1910,3.0,4,Worli,Unfurnished,3BHK,2,Yes,No,1,713952,Yes,14035
Galaxy Enclave 204,1183,3.0,13,Vile Parle West,Furnished,3BHK,4,No,No,4,1286803,No,0
Elite Park 398,2363,3.0,5,Worli,Unfurnished,3BHK,2,Yes,No,4,1245364,No,0
Emerald Heights 78,2006,1.0,16,Mulund West,Furnished,1BHK,2,Yes,No,3,1758488,Yes,37947
Sapphire Enclave 432,1595,3.0,1,Borivali West,Unfurnished,3BHK,1,Yes,No,1,2015033,Yes,33533
Oceanic Palace 183,746,3.0,11,Kandivali West,Unfurnished,3BHK,1,Yes,No,0,1279975,Yes,11250
Emerald Plaza 246,2961,3.0,15,Malad West,Unfurnished,3BHK,3,No,Yes,4,4382177,No,0
Silver Villa 311,652,4.0,1,Santacruz West,Furnished,4BHK,3,No,No,1,1597862,No,0
Sai Chawl,532,4.0,3,Mulund West,Semi-Furnished,4BHK,3,Yes,Yes,1,2539592,No,0
Royal Villa 298,1108,4.0,14,Bandra East,Semi-Furnished,4BHK,2,Yes,No,2,4986593,No,0
Metro Palace 21,1083,3.0,19,Borivali West,Unfurnished,3BHK,3,Yes,No,1,3987587,No,0
Skyline Residency 417,495,1.0,14,Kharghar,Semi-Furnished,1BHK,2,Yes,No,0,2032985,Yes,14249
Royal Plaza 404,3124,1.0,16,Malad West,Unfurnished,1BHK,4,No,Yes,3,1217945,Yes,14342
Sai Chawl,1910,4.0,4,Malad East,Semi-Furnished,4BHK,1,No,Yes,3,1310539,Yes,39669
Silver Palace 443,1066,2.0,8,Borivali West,Semi-Furnished,2BHK,3,No,Yes,2,2665470,No,0
Green Estate 139,3410,3.0,6,Malad East,Unfurnished,3BHK,4,No,No,2,4940093,Yes,14964
Urban Residency 159,1124,4.0,1,Nerul,Unfurnished,4BHK,1,Yes,Yes,3,3976912,No,0
Sai Residency 406,1799,4.0,6,Vashi,Furnished,4BHK,3,Yes,No,2,4524527,Yes,20533
Elite View 136,921,3.0,22,Borivali East,Furnished,3BHK,4,No,No,1,1859546,Yes,26734
Sai Chawl,3379,3.0,1,Nerul,Furnished,3BHK,3,Yes,No,1,563859,No,0
Golden Grandeur 498,2541,3.0,23,Andheri East,Unfurnished,3BHK,1,No,No,3,4952941,Yes,13093
Green Grandeur 249,843,2.0,13,Vile Parle East,Semi-Furnished,2BHK,3,No,Yes,1,2572305,No,0
Sai Chawl,1521,1.0,13,Kandivali East,Semi-Furnished,1BHK,2,No,No,2,3640745,Yes,36785
Harmony Heights 335,604,4.0,3,Kharghar,Unfurnished,4BHK,4,No,No,3,3535697,No,0
Golden Arcade 299,1271,4.0,3,Bandra East,Semi-Furnished,4BHK,3,Yes,Yes,2,1731241,No,0
Lakeview Estate 95,2789,4.0,10,Goregaon West,Semi-Furnished,4BHK,2,No,No,2,1013377,No,0
Crystal Park 303,1838,2.0,15,Vile Parle East,Semi-Furnished,2BHK,4,Yes,No,2,715575,Yes,38649
Sapphire Homes 493,3064,3.0,1,Ghansoli,Semi-Furnished,3BHK,3,No,No,2,1026880,No,0
Sunrise Palace 219,2467,1.0,11,Borivali West,Unfurnished,1BHK,1,Yes,Yes,3,1750561,Yes,13131
Sai Chawl,831,1.0,22,Bandra West,Semi-Furnished,1BHK,2,Yes,No,4,840511,Yes,33675
Sai Chawl,2139,2.0,18,Panvel,Unfurnished,2BHK,3,No,No,0,2132825,No,0
Harmony Apartments 480,2279,1.0,3,Bandra West,Furnished,1BHK,1,No,No,4,1837799,Yes,21902
Sai Chawl,1904,2.0,23,Kurla West,Unfurnished,2BHK,1,Yes,Yes,3,1105092,No,0
Oceanic Arcade 36,1067,4.0,9,Sion,Unfurnished,4BHK,1,No,No,0,3440222,No,0
Lakeview Residency 383,2307,1.0,6,Mulund East,Semi-Furnished,1BHK,1,No,Yes,2,596190,Yes,14013
Sai Chawl,1791,2.0,11,Lower Parel,Semi-Furnished,2BHK,1,Yes,Yes,1,4835800,No,0
Palm Villa 456,3121,3.0,3,Kharghar,Semi-Furnished,3BHK,4,Yes,Yes,2,1305511,No,0
Palm Homes 218,1608,4.0,7,Andheri East,Semi-Furnished,4BHK,2,No,Yes,4,613862,No,0
Sai Chawl,2200,1.0,2,Worli,Furnished,1BHK,4,No,Yes,2,3324423,No,0
Sunrise Park 370,634,4.0,2,Malad West,Unfurnished,4BHK,1,Yes,Yes,1,936307,No,0
Green Plaza 390,2141,2.0,10,Worli,Unfurnished,2BHK,3,No,Yes,1,4283017,No,0
Sunrise View 10,2811,3.0,24,Chembur,Unfurnished,3BHK,3,No,No,1,4123849,Yes,14679
Lakeview Grandeur 358,2890,3.0,1,Vile Parle West,Semi-Furnished,3BHK,3,No,Yes,2,4260794,No,0
Sai Chawl,2094,3.0,9,Kharghar,Semi-Furnished,3BHK,1,Yes,Yes,4,4260653,Yes,28624
Golden Park 194,1330,1.0,19,Dadar East,Furnished,1BHK,3,No,Yes,2,2224869,No,0
Skyline Residency 278,820,4.0,16,Borivali East,Unfurnished,4BHK,2,Yes,No,4,2870300,Yes,25672
Galaxy Homes 130,1753,3.0,5,Kurla West,Semi-Furnished,3BHK,4,Yes,No,2,2167114,Yes,14145
Golden Palace 148,2908,4.0,13,Goregaon East,Semi-Furnished,4BHK,2,Yes,Yes,1,636030,No,0
Sai Chawl,2696,1.0,12,Ghansoli,Furnished,1BHK,2,No,No,0,3061006,Yes,17504
Galaxy Heights 97,1448,1.0,22,Worli,Furnished,1BHK,1,No,Yes,0,2666797,No,0
Palm Estate 462,3147,1.0,13,Bandra East,Furnished,1BHK,2,Yes,Yes,3,4345331,No,0
Sunrise Palace 261,824,1.0,8,Borivali East,Semi-Furnished,1BHK,2,Yes,No,0,1864962,No,0
Urban View 3,3446,4.0,6,Mulund East,Furnished,4BHK,4,No,No,3,965644,No,0
Sai Chawl,2152,1.0,20,Malad West,Furnished,1BHK,4,No,No,3,1451822,Yes,13874
Metro Palace 260,2854,4.0,3,Santacruz East,Unfurnished,4BHK,3,Yes,No,4,4226551,Yes,28464
Sai Chawl,852,4.0,9,Vashi,Semi-Furnished,4BHK,3,No,Yes,4,4456643,No,0
Harmony Estate 120,869,3.0,15,Kurla West,Semi-Furnished,3BHK,2,No,No,4,4895748,No,0
Sai Chawl,2428,4.0,22,Santacruz West,Unfurnished,4BHK,1,Yes,No,3,1528317,Yes,31755
Urban Enclave 127,2467,3.0,1,Panvel,Furnished,3BHK,1,Yes,No,3,2596877,No,0
Sai Chawl,1595,3.0,9,Lower Parel,Unfurnished,3BHK,1,Yes,No,4,2184997,Yes,30738
Sai Chawl,1767,3.0,6,Mulund East,Furnished,3BHK,2,No,Yes,2,3706828,No,0
Sai Chawl,1889,3.0,12,Kharghar,Semi-Furnished,3BHK,3,Yes,Yes,2,4447234,Yes,22258
Metro Residency 476,3053,3.0,11,Borivali East,Furnished,3BHK,3,Yes,Yes,4,3108914,Yes,22715
Elite Park 398,749,2.0,17,Kandivali West,Semi-Furnished,2BHK,3,Yes,Yes,4,1474247,No,0
Golden View 449,1891,4.0,5,Vile Parle West,Semi-Furnished,4BHK,2,No,Yes,3,3624043,Yes,18752
Sunrise Enclave 397,1161,4.0,5,Dadar East,Semi-Furnished,4BHK,1,No,Yes,4,1677102,No,0
Harmony Park 416,732,2.0,18,Kandivali West,Furnished,2BHK,4,Yes,Yes,3,900224,Yes,30603
Metro Grandeur 322,1833,2.0,17,Kurla West,Unfurnished,2BHK,2,Yes,Yes,4,4812020,Yes,19506
Orchid Palace 61,2159,2.0,14,Kurla West,Unfurnished,2BHK,3,Yes,Yes,4,1006970,No,0
Emerald Palace 415,1499,3.0,6,Kurla West,Furnished,3BHK,3,No,Yes,2,1584975,Yes,23405
Sai Chawl,1239,2.0,5,Kandivali West,Unfurnished,2BHK,3,No,No,3,1635285,Yes,20475
Sapphire Homes 493,2583,2.0,3,Mulund West,Semi-Furnished,2BHK,2,No,Yes,0,3424969,Yes,16373
Palm Estate 462,1983,1.0,12,Kharghar,Unfurnished,1BHK,3,No,Yes,3,1684366,Yes,15008
Sapphire Palace 382,690,3.0,20,Vile Parle West,Semi-Furnished,3BHK,1,No,No,2,4935085,No,0
Sai Park 160,3428,2.0,21,Andheri West,Semi-Furnished,2BHK,4,No,Yes,1,3249887,No,0
Metro Residency 96,1570,1.0,10,Borivali West,Furnished,1BHK,3,No,Yes,3,808546,No,0
Metro Enclave 470,2003,2.0,16,Kandivali East,Unfurnished,2BHK,3,Yes,Yes,3,4055471,Yes,24454
Sai Chawl,944,3.0,8,Andheri West,Semi-Furnished,3BHK,1,No,Yes,1,4457998,Yes,13725
Sai Chawl,2398,1.0,2,Malad East,Semi-Furnished,1BHK,3,Yes,Yes,2,556375,Yes,16913
Harmony View 435,2798,1.0,5,Kandivali West,Semi-Furnished,1BHK,1,Yes,Yes,0,4067463,No,0
Sapphire Palace 382,2437,1.0,13,Bandra East,Semi-Furnished,1BHK,3,No,No,2,1719129,Yes,26157
Elite Grandeur 232,907,2.0,8,Mulund East,Unfurnished,2BHK,4,Yes,No,4,4734475,No,0
Sai Chawl,2264,2.0,16,Malad East,Unfurnished,2BHK,4,No,Yes,0,2011957,No,0
Oceanic Homes 112,2494,1.0,24,Dadar West,Semi-Furnished,1BHK,3,No,No,2,1025291,No,0
Royal Palace 274,2884,4.0,5,Kurla East,Semi-Furnished,4BHK,4,Yes,No,4,1489326,Yes,35556
Harmony Apartments 460,1593,2.0,19,Seawoods,Unfurnished,2BHK,2,Yes,No,2,4300463,Yes,33977
Palm Plaza 352,817,1.0,21,Worli,Unfurnished,1BHK,4,Yes,Yes,1,4313327,Yes,36564
Oceanic Arcade 36,1812,4.0,8,Vashi,Unfurnished,4BHK,2,Yes,No,3,2829968,No,0
Skyline Plaza 34,989,1.0,11,Juhu,Semi-Furnished,1BHK,4,Yes,Yes,4,1298658,Yes,26571
Royal Palace 353,2479,3.0,2,Kurla West,Unfurnished,3BHK,2,No,No,4,3612116,Yes,28968
Sapphire Grandeur 158,1299,3.0,13,Airoli,Furnished,3BHK,3,No,Yes,2,1239234,Yes,8387
Palm Villa 248,430,1.0,17,Dadar West,Unfurnished,1BHK,3,Yes,No,2,928133,Yes,32206
Sai Chawl,2505,4.0,20,Goregaon East,Semi-Furnished,4BHK,3,No,No,4,3226364,Yes,12072
Royal Heights 106,2984,1.0,14,Lower Parel,Semi-Furnished,1BHK,3,Yes,Yes,3,2111920,No,0
Sai Chawl,2478,3.0,5,Borivali East,Semi-Furnished,3BHK,1,No,No,2,2835545,No,0
Sai Chawl,3026,4.0,8,Ghatkopar West,Unfurnished,4BHK,3,No,Yes,1,944089,No,0
Sai Chawl,1677,4.0,11,Nerul,Unfurnished,4BHK,4,Yes,Yes,3,3905400,No,0
Green Apartments 199,964,3.0,21,Kurla West,Semi-Furnished,3BHK,4,Yes,No,4,2240845,No,0
Metro Residency 285,2527,3.0,24,Powai,Unfurnished,3BHK,1,Yes,No,1,3228362,Yes,22978
Crystal Tower 80,2179,1.0,1,Kandivali West,Unfurnished,1BHK,1,Yes,No,0,3793688,Yes,39173
Sai Chawl,2114,1.0,18,Powai,Semi-Furnished,1BHK,3,No,No,4,3202994,Yes,19197
Royal Villa 451,2348,3.0,9,Mulund West,Semi-Furnished,3BHK,2,Yes,Yes,0,2809504,No,0
Sai Chawl,2597,2.0,15,Worli,Furnished,2BHK,1,No,No,1,1016004,No,0
Sai Chawl,2508,1.0,20,Santacruz West,Unfurnished,1BHK,4,No,No,3,4847964,Yes,32635
Sai Estate 430,985,3.0,9,Borivali East,Semi-Furnished,3BHK,4,Yes,Yes,3,3343108,Yes,13425
Sai Chawl,1277,2.0,18,Dadar West,Furnished,2BHK,4,Yes,Yes,2,3138284,Yes,26607
Skyline Grandeur 490,795,3.0,3,Nerul,Unfurnished,3BHK,3,No,No,0,2478451,No,0
Crystal Villa 385,1704,1.0,14,Andheri West,Unfurnished,1BHK,3,Yes,No,1,4717683,Yes,9973
Shanti Homes 396,2786,1.0,2,Vashi,Semi-Furnished,1BHK,3,Yes,No,4,571137,No,0
Galaxy Estate 342,2164,3.0,12,Andheri East,Semi-Furnished,3BHK,2,No,No,2,4139220,No,0
Sai Chawl,2909,2.0,5,Bandra East,Unfurnished,2BHK,1,No,No,1,1253163,No,0
Harmony Palace 30,2653,2.0,6,Nerul,Semi-Furnished,2BHK,2,Yes,No,4,912112,Yes,38540
Crystal Villa 385,3184,1.0,1,Malad East,Semi-Furnished,1BHK,4,No,Yes,2,2096094,No,0
Sai Heights 29,1348,3.0,18,Borivali West,Furnished,3BHK,1,Yes,Yes,3,2535146,Yes,39119
Royal Arcade 117,1016,1.0,21,Juhu,Unfurnished,1BHK,4,No,Yes,2,1900495,No,0
Sai Chawl,3330,3.0,22,Worli,Semi-Furnished,3BHK,1,Yes,No,2,4232625,Yes,25053
Silver Homes 198,1163,1.0,9,Bandra East,Furnished,1BHK,4,Yes,No,2,579109,No,0
Palm Villa 248,1409,4.0,12,Powai,Semi-Furnished,4BHK,3,No,Yes,2,955239,No,0
Skyline Villa 31,3410,3.0,15,Belapur,Unfurnished,3BHK,1,Yes,No,4,2079941,No,0
Sai Chawl,430,3.0,7,Ghansoli,Furnished,3BHK,1,Yes,Yes,4,1590563,No,0
Metro Residency 285,2829,1.0,13,Goregaon West,Semi-Furnished,1BHK,4,No,No,4,620806,Yes,15127
Green Estate 139,3452,1.0,19,Airoli,Semi-Furnished,1BHK,4,Yes,Yes,1,906549,No,0
Golden View 420,2784,1.0,5,Vile Parle East,Unfurnished,1BHK,1,No,Yes,4,1357152,No,0
Sai Estate 317,2129,3.0,6,Malad East,Semi-Furnished,3BHK,4,Yes,Yes,4,3147650,No,0
Skyline Enclave 453,658,4.0,19,Vashi,Semi-Furnished,4BHK,4,Yes,No,2,4536624,Yes,29393
Shanti Villa 439,651,3.0,20,Bandra East,Unfurnished,3BHK,3,Yes,Yes,3,3246762,No,0
Golden Villa 58,1135,3.0,15,Panvel,Unfurnished,3BHK,1,Yes,No,3,823618,Yes,14253
Skyline Villa 309,3006,1.0,20,Dadar East,Unfurnished,1BHK,3,Yes,No,2,2552391,Yes,32576
Sai Chawl,1555,2.0,12,Kandivali East,Furnished,2BHK,1,No,Yes,1,3870893,Yes,33161
Silver Grandeur 433,3270,4.0,16,Vile Parle West,Furnished,4BHK,1,Yes,No,1,4063673,No,0
Urban Villa 11,690,2.0,18,Sion,Semi-Furnished,2BHK,3,Yes,No,4,3996453,No,0
Sai Chawl,417,2.0,5,Kandivali West,Unfurnished,2BHK,3,No,No,1,4233062,No,0
Sai Chawl,2437,1.0,23,Kurla East,Unfurnished,1BHK,2,Yes,Yes,2,2253000,Yes,24823
Sai Chawl,3427,4.0,15,Malad East,Unfurnished,4BHK,2,No,No,0,2852942,Yes,34306
Emerald Arcade 243,2249,4.0,16,Borivali West,Furnished,4BHK,4,No,Yes,4,702121,No,0
Silver Homes 198,3169,4.0,3,Chembur,Semi-Furnished,4BHK,2,Yes,Yes,4,4660292,Yes,19388
Sai Chawl,1033,3.0,21,Kharghar,Furnished,3BHK,3,No,No,0,1451155,No,0
Skyline Homes 270,1189,3.0,23,Borivali East,Unfurnished,3BHK,4,Yes,Yes,2,2171293,Yes,24975
Oceanic Apartments 66,1974,4.0,7,Mulund East,Furnished,4BHK,4,Yes,No,2,2274909,Yes,18124
Sai Chawl,1523,1.0,23,Andheri East,Unfurnished,1BHK,1,Yes,No,3,4718795,No,0
Sunrise Villa 71,3040,3.0,11,Goregaon West,Furnished,3BHK,1,No,No,3,3693072,No,0
Skyline Arcade 143,1290,4.0,10,Ghatkopar East,Semi-Furnished,4BHK,2,No,Yes,3,2886835,No,0
Harmony Estate 105,2358,3.0,14,Dadar West,Semi-Furnished,3BHK,4,No,Yes,3,4597470,No,0
Sai Chawl,1084,2.0,10,Vashi,Unfurnished,2BHK,4,Yes,No,1,4759064,Yes,36361
Sai Chawl,1323,4.0,10,Kandivali West,Semi-Furnished,4BHK,1,No,No,2,2489079,No,0
Sai Chawl,2485,4.0,12,Bandra East,Semi-Furnished,4BHK,1,No,No,3,4523332,Yes,28897
Emerald Estate 147,2635,3.0,9,Lower Parel,Unfurnished,3BHK,3,Yes,No,2,653621,No,0
Sai Chawl,2765,1.0,23,Mulund East,Semi-Furnished,1BHK,3,No,No,1,1392650,Yes,37868
Silver Estate 263,907,4.0,22,Vashi,Furnished,4BHK,1,Yes,Yes,2,4827038,Yes,20840
Royal Apartments 467,2968,4.0,19,Bandra East,Semi-Furnished,4BHK,3,No,No,3,3458460,Yes,29792
Metro Estate 271,2994,4.0,2,Ghatkopar East,Semi-Furnished,4BHK,3,No,Yes,1,828656,No,0
Sai Chawl,1607,4.0,2,Bandra East,Semi-Furnished,4BHK,4,Yes,Yes,3,4673860,Yes,36841
Green View 463,2352,4.0,7,Ghatkopar West,Unfurnished,4BHK,4,Yes,No,4,3945234,No,0
Sai Chawl,1858,4.0,3,Vile Parle East,Furnished,4BHK,4,No,No,2,2906081,Yes,21693
Oceanic Homes 321,1867,2.0,20,Bandra East,Unfurnished,2BHK,2,No,No,4,1753848,Yes,16796
Sai Chawl,1253,4.0,7,Bandra West,Furnished,4BHK,3,Yes,No,2,4509009,Yes,35292
Silver Arcade 178,2218,4.0,2,Juhu,Furnished,4BHK,1,Yes,Yes,1,1941393,No,0
Sai Chawl,2967,1.0,22,Juhu,Semi-Furnished,1BHK,3,No,Yes,2,1747116,Yes,38092
Sunrise View 109,2857,3.0,3,Kandivali East,Unfurnished,3BHK,4,No,No,3,3967395,No,0
Orchid Homes 319,2936,1.0,19,Kandivali West,Unfurnished,1BHK,4,Yes,Yes,4,4130447,No,0
Oceanic Arcade 355,1547,2.0,9,Nerul,Semi-Furnished,2BHK,4,Yes,Yes,1,2501090,Yes,11974
Oceanic Enclave 196,1960,4.0,10,Nerul,Semi-Furnished,4BHK,1,No,No,3,3886079,Yes,26985
Emerald View 195,2844,1.0,23,Chembur,Furnished,1BHK,3,Yes,Yes,1,1307261,No,0
Metro Residency 285,3324,2.0,20,Dadar East,Unfurnished,2BHK,4,Yes,No,3,3917807,Yes,38880
Palm Palace 412,3069,1.0,7,Goregaon East,Semi-Furnished,1BHK,3,No,Yes,0,4890328,No,0
Sai Chawl,1804,3.0,1,Kandivali West,Furnished,3BHK,1,Yes,No,2,1077742,Yes,37034
Sai Chawl,1211,2.0,20,Malad West,Unfurnished,2BHK,1,Yes,Yes,3,3980066,No,0
Sai Chawl,2132,3.0,19,Kandivali West,Unfurnished,3BHK,1,No,Yes,4,1357308,No,0
Golden Apartments 27,2993,1.0,5,Bandra West,Semi-Furnished,1BHK,2,Yes,Yes,1,2985447,No,0
Golden Park 477,1436,1.0,13,Ghansoli,Unfurnished,1BHK,1,No,No,4,1115432,No,0
Sai Chawl,2155,4.0,8,Goregaon West,Semi-Furnished,4BHK,3,No,No,0,4173426,Yes,18458
Sai Chawl,489,1.0,19,Sion,Semi-Furnished,1BHK,3,Yes,Yes,3,2083851,No,0
Skyline Villa 309,3282,2.0,17,Airoli,Semi-Furnished,2BHK,3,No,Yes,3,4355334,Yes,32560
Golden Apartments 27,1947,2.0,1,Santacruz West,Unfurnished,2BHK,4,No,Yes,1,879303,No,0
Metro Park 230,1218,2.0,5,Ghatkopar West,Furnished,2BHK,2,No,Yes,3,2712994,Yes,21672
Sai Chawl,2077,1.0,9,Borivali East,Unfurnished,1BHK,1,Yes,No,2,907654,No,0
Sai Chawl,1842,1.0,22,Airoli,Semi-Furnished,1BHK,2,Yes,No,1,1783264,No,0
Harmony Palace 389,641,2.0,3,Kurla East,Furnished,2BHK,1,Yes,No,1,1738623,No,0
Sai Chawl,2135,4.0,21,Nerul,Semi-Furnished,4BHK,2,No,Yes,1,2394612,No,0
Sai Chawl,1826,2.0,6,Borivali East,Unfurnished,2BHK,4,Yes,Yes,0,1755633,Yes,38456
Orchid View 364,3002,3.0,2,Goregaon West,Semi-Furnished,3BHK,3,Yes,No,1,2588339,Yes,34811
Sai Chawl,898,2.0,13,Santacruz East,Semi-Furnished,2BHK,1,No,Yes,3,2239143,No,0
Sai Chawl,1121,3.0,6,Borivali East,Semi-Furnished,3BHK,4,Yes,Yes,1,2474374,Yes,32580
Sai Chawl,1386,4.0,6,Seawoods,Furnished,4BHK,1,Yes,Yes,0,4119506,Yes,17462
Elite Residency 308,3101,2.0,18,Andheri West,Semi-Furnished,2BHK,2,No,No,0,701360,Yes,8549
Green Villa 374,3094,1.0,15,Andheri East,Unfurnished,1BHK,1,Yes,Yes,4,2255079,Yes,33056
Sapphire View 193,1624,3.0,9,Bandra East,Unfurnished,3BHK,1,Yes,No,0,2127675,Yes,15037
Sai Chawl,1141,4.0,8,Ghatkopar West,Furnished,4BHK,3,No,No,2,3209660,No,0
Green Villa 374,909,3.0,8,Mulund West,Furnished,3BHK,4,No,No,2,4977798,Yes,15429
Elite Villa 241,1850,2.0,17,Ghansoli,Semi-Furnished,2BHK,4,No,No,2,1798127,No,0
Sai Chawl,2713,1.0,10,Santacruz East,Furnished,1BHK,4,No,No,4,2133781,No,0
Silver Palace 386,3052,3.0,15,Kandivali East,Unfurnished,3BHK,1,Yes,Yes,4,3979683,Yes,20411
Sai Chawl,2516,4.0,24,Lower Parel,Furnished,4BHK,2,Yes,Yes,4,3796406,No,0
Sapphire Enclave 432,1908,4.0,17,Airoli,Furnished,4BHK,3,No,No,1,691832,No,0
Royal View 242,2658,2.0,22,Kandivali East,Semi-Furnished,2BHK,3,No,No,3,4180422,Yes,19190
Metro Estate 114,1617,2.0,8,Kandivali East,Unfurnished,2BHK,2,No,Yes,0,4274319,Yes,27950
Elite Enclave 70,1535,3.0,8,Vashi,Semi-Furnished,3BHK,4,No,Yes,3,1669820,No,0
Metro Grandeur 244,1820,4.0,6,Ghatkopar West,Furnished,4BHK,1,Yes,No,4,1288474,No,0
Emerald Apartments 23,872,4.0,24,Goregaon East,Semi-Furnished,4BHK,1,No,No,4,1257589,Yes,29957
Lakeview Enclave 90,615,2.0,21,Andheri West,Unfurnished,2BHK,2,Yes,Yes,3,3759161,Yes,23252
Harmony Villa 488,3380,1.0,10,Borivali West,Semi-Furnished,1BHK,4,Yes,No,1,1266424,No,0
Sapphire Homes 493,1529,3.0,10,Panvel,Semi-Furnished,3BHK,4,No,No,3,2410872,Yes,25576
Sai Chawl,1019,1.0,5,Juhu,Furnished,1BHK,2,No,Yes,2,4986509,No,0
Golden Enclave 190,2479,3.0,5,Seawoods,Unfurnished,3BHK,1,No,Yes,4,4560979,Yes,38253
Oceanic Apartments 66,1544,1.0,2,Bandra East,Furnished,1BHK,2,Yes,No,2,1044601,Yes,33021
Royal Plaza 404,1133,4.0,22,Kandivali West,Unfurnished,4BHK,4,Yes,No,2,4370866,Yes,31357
Sai Chawl,3070,2.0,4,Borivali West,Unfurnished,2BHK,2,No,No,2,1223026,No,0
